Time,Time_ubisense,txeui,seq,X,Y,Z
1510928789.447,1510928790.1556196213,1,183725,0.794,-0.379,0.453,
1510928789.467,1510928790.1796212196,1,183726,0.801,-0.385,0.446,
1510928789.497,1510928790.2046222687,1,183727,0.784,-0.369,0.433,
1510928789.517,1510928790.2286238670,1,183728,0.784,-0.343,0.432,
1510928789.537,1510928790.2536251545,1,183729,0.788,-0.324,0.434,
1510928789.577,1510928790.2786266804,1,183730,0.791,-0.309,0.436,
1510928789.597,1510928790.3036282063,1,183731,0.757,-0.326,0.421,
1510928789.617,1510928790.3296294212,1,183732,0.730,-0.317,0.415,
1510928789.647,1510928790.3536310196,1,183733,0.713,-0.321,0.409,
1510928789.667,1510928790.3796324730,1,183734,0.718,-0.314,0.404,
1510928789.697,1510928790.4036338329,1,183735,0.721,-0.315,0.399,
1510928789.717,1510928790.4296352863,1,183736,0.728,-0.312,0.395,
1510928789.749,1510928790.4536366463,1,183737,0.730,-0.320,0.391,
1510928789.769,1510928790.4806382656,1,183738,0.736,-0.324,0.388,
1510928789.789,1510928790.5046396255,1,183739,0.730,-0.339,0.390,
1510928789.829,1510928790.5306410789,1,183740,0.733,-0.343,0.390,
1510928789.839,1510928790.5526423454,1,183741,0.737,-0.358,0.393,
1510928789.869,1510928790.5786440372,1,183742,0.735,-0.364,0.395,
1510928789.889,1510928790.6036453247,1,183743,0.738,-0.364,0.396,
1510928789.919,1510928790.6296467781,1,183744,0.760,-0.378,0.402,
1510928789.939,1510928790.6536481380,1,183745,0.768,-0.381,0.404,
1510928789.969,1510928790.6796495914,1,183746,0.771,-0.379,0.405,
1510928789.990,1510928790.7036511898,1,183747,0.781,-0.381,0.409,
1510928790.019,1510928790.7286522388,1,183748,0.796,-0.366,0.417,
1510928790.039,1510928790.7546539307,1,183749,0.807,-0.373,0.422,
1510928790.079,1510928790.7786552906,1,183750,0.820,-0.377,0.429,
1510928790.089,1510928790.8036568165,1,183751,0.830,-0.363,0.429,
1510928790.119,1510928790.8266580105,1,183752,0.830,-0.363,0.429,
1510928790.139,1510928790.8536596298,1,183753,0.846,-0.369,0.435,
1510928790.169,1510928790.8786611557,1,183754,0.851,-0.361,0.437,
1510928790.189,1510928790.9026622772,1,183755,0.863,-0.363,0.441,
