Time,Time_ubisense,txeui,seq,X,Y,Z
1510937286.225,1510937287.0755100250,1,209439,1.004,-0.970,0.500,
1510937286.254,1510937287.0995111465,1,209440,0.976,-0.970,0.500,
1510937286.274,1510937287.1245126724,1,209441,0.951,-0.964,0.500,
1510937286.304,1510937287.1505141258,1,209442,0.926,-0.945,0.500,
1510937286.324,1510937287.1755154133,1,209443,0.885,-0.957,0.500,
1510937286.365,1510937287.2005169392,1,209444,0.853,-0.951,0.500,
1510937286.374,1510937287.2245182991,1,209445,0.781,-0.950,0.500,
1510937286.405,1510937287.2495198250,1,209446,0.724,-0.940,0.500,
1510937286.424,1510937287.2735211849,1,209447,0.724,-0.940,0.500,
1510937286.454,1510937287.2995226383,1,209448,0.699,-0.951,0.500,
1510937286.474,1510937287.3245239258,1,209449,0.681,-0.963,0.500,
1510937286.514,1510937287.3495254517,1,209450,0.672,-0.967,0.500,
1510937286.524,1510937287.3735268116,1,209451,0.678,-0.974,0.500,
1510937286.554,1510937287.3985283375,1,209452,0.681,-0.984,0.500,
1510937286.574,1510937287.4235296249,1,209453,0.684,-0.992,0.500,
1510937286.594,1510937287.4475312233,1,209454,0.684,-0.992,0.500,
1510937286.624,1510937287.4735326767,1,209455,0.696,-0.984,0.498,
1510937286.655,1510937287.4995338917,1,209456,0.701,-0.980,0.498,
1510937286.674,1510937287.5245354176,1,209457,0.709,-0.971,0.497,
1510937286.704,1510937287.5545370579,1,209458,0.710,-0.968,0.497,
1510937286.725,1510937287.5745382309,1,209459,0.702,-0.965,0.497,
1510937286.754,1510937287.5995399952,1,209460,0.700,-0.956,0.497,
1510937286.774,1510937287.6245410442,1,209461,0.698,-0.949,0.497,
1510937286.804,1510937287.6495428085,1,209462,0.696,-0.944,0.497,
1510937286.824,1510937287.6745440960,1,209463,0.697,-0.939,0.498,
1510937286.854,1510937287.6985454559,1,209464,0.697,-0.918,0.499,
1510937286.874,1510937287.7245469093,1,209465,0.688,-0.913,0.499,
1510937286.894,1510937287.7485482693,1,209466,0.679,-0.907,0.500,
1510937286.924,1510937287.7745499611,1,209467,0.674,-0.891,0.500,
1510937286.956,1510937287.7985510826,1,209468,0.667,-0.876,0.500,
1510937286.985,1510937287.8235528469,1,209469,0.656,-0.858,0.500,
1510937286.995,1510937287.8485538960,1,209470,0.645,-0.843,0.500,
1510937287.035,1510937287.8735554218,1,209471,0.633,-0.832,0.500,
1510937287.046,1510937287.8985569477,1,209472,0.622,-0.827,0.500,
1510937287.075,1510937287.9235582352,1,209473,0.607,-0.811,0.500,
1510937287.095,1510937287.9485597610,1,209474,0.593,-0.799,0.500,
1510937287.125,1510937287.9745612144,1,209475,0.581,-0.782,0.500,
